Documentary,Western,(no genres listed),Crime,Animation,Children,IMAX,Comedy,Thriller,Mystery,Film-Noir,Drama,Action,Fantasy,Musical,War,Horror,Sci-Fi,Romance,Adventure
,,,"Name of the Rose, The (Name der Rose, Der) (1986)",,,,"Midsummer Night's Dream, A (1935)",National Treasure (2004),,,Irreversible (Irréversible) (2002),Elite Squad: The Enemy Within (Tropa de Elite 2 - O Inimigo Agora É Outro) (2010),,,,"Addiction, The (1995)","Princess Blade, The (Shura Yukihime) (2001)",Last Tango in Paris (Ultimo tango a Parigi) (1972),Popeye (1980)
,,,Murder on the Orient Express (1974),,,,Florence Foster Jenkins (2016),Halloween: The Curse of Michael Myers (Halloween 6: The Curse of Michael Myers) (1995),,,Demolition (2016),Valerian and the City of a Thousand Planets (2017),,,,Peeping Tom (1960),Voyage to the Bottom of the Sea (1961),"Secret Life of Words, The (2005)","Three Burials of Melquiades Estrada, The (2006)"
,,,Watch Out for the Automobile (Beregis avtomobilya) (1966),,,,Death at a Funeral (2010),Pusher (1996),,,Bernie (1996),Hardware (1990),,,,Freaks (1932),Happy Accidents (2000),"Princess and the Frog, The (2009)",Big Top Pee-Wee (1988)
,,,Mini's First Time (2006),,,,"Bucket Of Blood, A (1959)",Insomnia (1997),,,Higher Learning (1995),xXx (2002),,,,Julia (2014),Ultimate Avengers 2 (2006),Fallen Angels (Duo luo tian shi) (1995),Let's Get Harry (1986)
,,,I Know Who Killed Me (2007),,,,Envy (2004),"Expendables, The (2010)",,,Hesher (2010),Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),,,,Dead of Night (1945),Mimic (1997),John Tucker Must Die (2006),The Odyssey (1997)
,,,Croupier (1998),,,,"It's the Great Pumpkin, Charlie Brown (1966)",Psycho III (1986),,,Rope (1948),Paul Blart: Mall Cop (2009),,,,"American Werewolf in Paris, An (1997)",Journey to the Center of the Earth (2008),Broken Arrow (1950),"Adventures of Robin Hood, The (1938)"
,,,Anti-Social (2015),,,,"Last Wedding, The (Kivenpyörittäjän kylä) (1995)",Maniac (2012),,,Zulu (2013),Brick Mansions (2014),,,,"Toxic Avenger Part III: The Last Temptation of Toxie, The (1989)",Terminator Genisys (2015),"Lady and the Duke, The (Anglaise et le duc, L') (2001)",Mud (2012)
,,,Infernal Affairs (Mou gaan dou) (2002),,,,Dave Chappelle: Deep in the Heart of Texas (2017),"Perfect Getaway, A (2009)",,,Alias Betty (Betty Fisher et autres histoires) (2001),Kindergarten Cop (1990),,,,"Shining, The (1980)",Tokyo Tribe (2014),"Last Kiss, The (Ultimo bacio, L') (2001)",Anacondas: The Hunt for the Blood Orchid (2004)
,,,"Bird with the Crystal Plumage, The (Uccello dalle piume di cristallo, L') (1970)",,,,Must Love Dogs (2005),Once a Thief (Zong heng si hai) (1991),,,Undisputed (2002),Manhunter (1986),,,,Dead Snow (Død snø) (2009),The Star Wars Holiday Special (1978),Chungking Express (Chung Hing sam lam) (1994),Innerspace (1987)
,,,Untraceable (2008),,,,Fist Fight (2017),High Crimes (2002),,,"Towering Inferno, The (1974)",Mesrine: Public Enemy #1 (L'ennemi public n°1) (2008),,,,Piranha (Piranha 3D) (2010),,Secret Admirer (1985),Casino Royale (2006)
,,,Wind River (2017),,,,Big Deal on Madonna Street (I Soliti Ignoti) (1958),Brothers (2009),,,Crazy Heart (2009),"Femme Nikita, La (Nikita) (1990)",,,,Mimic (1997),,Meet Dave (2008),"Amazing Spider-Man, The (2012)"
,,,Capote (2005),,,,102 Dalmatians (2000),The Wailing (2016),,,The Fault in Our Stars (2014),"Night to Remember, A (1958)",,,,I Spit on Your Grave (2010),,"Man and a Woman, A (Un homme et une femme) (1966)","City of Lost Children, The (Cité des enfants perdus, La) (1995)"
,,,Goodfellas (1990),,,,Sweet Charity (1969),On Her Majesty's Secret Service (1969),,,Happy Together (a.k.a. Buenos Aires Affair) (Chun gwong cha sit) (1997),Air America (1990),,,,"Picture of Dorian Gray, The (1945)",,Always (1989),Pirates of the Caribbean: Dead Man's Chest (2006)
,,,Suicide Squad (2016),,,,Boundaries (2018),Masquerade (1988),,,Patch Adams (1998),Rising Sun (1993),,,,"Breed, The (2006)",,"Thieves (Voleurs, Les) (1996)","Mummy: Tomb of the Dragon Emperor, The (2008)"
,,,Welcome to Collinwood (2002),,,,Drillbit Taylor (2008),"Bourne Identity, The (1988)",,,The African Doctor (2016),Universal Soldier: The Return (1999),,,,,,Last Holiday (1950),Bedtime Stories (2008)
,,,Hot Fuzz (2007),,,,Knight and Day (2010),"Fast & Furious 6 (Fast and the Furious 6, The) (2013)",,,Quadrophenia (1979),Mighty Morphin Power Rangers: The Movie (1995),,,,,,"Five-Year Engagement, The (2012)",Superman III (1983)
,,,Crank: High Voltage (2009),,,,Parental Guidance (2012),Stone (2010),,,Young Adult (2011),Rare Exports: A Christmas Tale (Rare Exports) (2010),,,,,,Pocahontas (1995),Dragonheart 2: A New Beginning (2000)
,,,Redemption (Hummingbird) (2013),,,,"Bell, Book and Candle (1958)","Perfect World, A (1993)",,,Secret in Their Eyes (2015),The Lego Movie (2014),,,,,,Working Girl (1988),"Lord of the Rings: The Return of the King, The (2003)"
,,,RoboCop 3 (1993),,,,"Adventures of Sebastian Cole, The (1998)",Broken Arrow (1996),,,"Fly, The (1986)",All About the Benjamins (2002),,,,,,Mischief (1985),Casino Royale (1967)
,,,Party Monster (2003),,,,Just Like Heaven (2005),Inside (À l'intérieur) (2007),,,8MM (1999),D.E.B.S. (2004),,,,,,Howl's Moving Castle (Hauru no ugoku shiro) (2004),Maverick (1994)
,,,State of Play (2009),,,,The Madagascar Penguins in a Christmas Caper (2005),Killshot (2008),,,This Must Be the Place (2011),Superman (1978),,,,,,Juliet of the Spirits (Giulietta degli spiriti) (1965),Ant-Man and the Wasp (2018)
,,,"Asphalt Jungle, The (1950)",,,,One Night at McCool's (2001),Dr. No (1962),,,"Gas, Food, Lodging (1992)",MacGyver: Trail to Doomsday (1994),,,,,,Jerry Maguire (1996),"What's Up, Tiger Lily? (1966)"
,,,Dobermann (1997),,,,Gone Fishin' (1997),Mr. Brooks (2007),,,Prime Suspect: The Lost Child (1995),"Glimmer Man, The (1996)",,,,,,"Decalogue, The (Dekalog) (1989)",Pacific Rim (2013)
,,,The Man from Nowhere (2010),,,,00 Schneider - Jagd auf Nihil Baxter (1994),Prince of Darkness (1987),,,Bread and Chocolate (Pane e cioccolata) (1973),Fantastic Four: Rise of the Silver Surfer (2007),,,,,,Only Angels Have Wings (1939),Rambo: First Blood Part II (1985)
,,,Slumdog Millionaire (2008),,,,Animals are Beautiful People (1974),Resident Evil: Afterlife (2010),,,Invincible (2006),Jonah Hex (2010),,,,,,From Up on Poppy Hill (Kokuriko-zaka kara) (2011),Dogma (1999)
,,,House of Wax (1953),,,,Comedy Central Roast of David Hasselhoff (2010),FearDotCom (a.k.a. Fear.com) (a.k.a. Fear Dot Com) (2002),,,Recount (2008),Dirty Harry (1971),,,,,,"Closer You Get, The (2000)","American Tail, An (1986)"
,,,Auto Focus (2002),,,,"Muse, The (1999)",Partisan (2015),,,Repulsion (1965),Mission: Impossible (1996),,,,,,Singin' in the Rain (1952),"Son of the Sheik, The (1926)"
,,,"Man Who Wasn't There, The (2001)",,,,Themroc (1973),"Crazies, The (2010)",,,Tarzan (1999),Green Lantern (2011),,,,,,Still Crazy (1998),Shaolin Temple (Shao Lin si) (1976)
,,,Now You See Me (2013),,,,Search Party (2014),Tenebre (1982),,,"Stand, The (1994)",Sword of the Stranger (Sutorejia: Mukô hadan) (2007),,,,,,Water for Elephants (2011),Little Big Soldier (Da bing xiao jiang) (2010)
,,,State of Grace (1990),,,,Billy Madison (1995),Perfect Blue (1997),,,The Hundred-Foot Journey (2014),My Lucky Stars (Fuk sing go jiu) (1985),,,,,,Vanity Fair (2004),SpaceCamp (1986)
,,,RoboCop (1987),,,,Liar Liar (1997),Santa Sangre (1989),,,Deepwater Horizon (2016),Darkman (1990),,,,,,"Allnighter, The (1987)",Texas Rangers (2001)
,,,Small Time Crooks (2000),,,,Big Trouble (2002),Stoker (2013),,,Painted Skin (2008),Feast (2005),,,,,,Manhattan (1979),Pocahontas II: Journey to a New World (1998) 
,,,One Tough Cop (1998),,,,Red (2010),The Handmaiden (2016),,,"Hurt Locker, The (2008)",Futurama: Into the Wild Green Yonder (2009),,,,,,To Gillian on Her 37th Birthday (1996),Star Trek: First Contact (1996)
,,,Who Framed Roger Rabbit? (1988),,,,Turtle Diary (1985),Legion (2010),,,"Tale of Two Cities, A (1935)",North by Northwest (1959),,,,,,"Mirror Has Two Faces, The (1996)",Beowulf (2007)
,,,Dark Portals: The Chronicles of Vidocq  (Vidocq) (2001),,,,Wimbledon (2004),Veronica Guerin (2003),,,Witness for the Prosecution (1957),The Count of Monte Cristo (2002),,,,,,Diva (1981),Fly Away Home (1996)
,,,Gran Torino (2008),,,,21 Jump Street (2012),Race to Witch Mountain (2009),,,Hoodlum (1997),Surf Nazis Must Die (1987),,,,,,Chaos Theory (2007),Doctor Who: The Time of the Doctor (2013)
,,,Angels with Dirty Faces (1938),,,,Beautiful Girls (1996),Margin Call (2011),,,Butterfly (La lengua de las mariposas) (1999),Last Hurrah for Chivalry (Hao xia) (1979),,,,,,Unicorn City (2012),Jabberwocky (1977)
,,,Running Scared (2006),,,,1941 (1979),Reindeer Games (2000),,,Coriolanus (2011),"Bank Job, The (2008)",,,,,,"Romantics, The (2010)",Muppets Most Wanted (2014)
,,,Bottle Rocket (1996),,,,Mars Needs Moms (2011),"Silence of the Lambs, The (1991)",,,Watership Down (1978),Hot Lead and Cold Feet (1978),,,,,,Leap Year (2010),"American Tail: Fievel Goes West, An (1991)"
,,,Foxy Brown (1974),,,,Judd Apatow: The Return (2017),"Lovely Bones, The (2009)",,,Gosford Park (2001),Nick Fury: Agent of S.H.I.E.L.D. (1998),,,,,,Play the Game (2009),Madagascar: Escape 2 Africa (2008)
,,,Traffic (2000),,,,As You Like It (2006),Blow Out (1981),,,Body (2015),Pirates of the Caribbean: The Curse of the Black Pearl (2003),,,,,,My Best Friend's Wedding (1997),"Muppet Movie, The (1979)"
,,,Once Were Warriors (1994),,,,That Darn Cat (1997),White Sands (1992),,,"Red Violin, The (Violon rouge, Le) (1998)",12 Rounds (2009),,,,,,"Nutty Professor, The (1996)","Life Aquatic with Steve Zissou, The (2004)"
,,,Henry: Portrait of a Serial Killer (1986),,,,Love at First Bite (1979),"Crossing Guard, The (1995)",,,Joe Somebody (2001),Wanted (2008),,,,,,"10,000 BC (2008)",Alice in Wonderland (2010)
,,,"Pink Panther, The (1963)",,,,It Came from Hollywood (1982),"China Syndrome, The (1979)",,,Orlando (1992),"Seeker: The Dark Is Rising, The (2007)",,,,,,Random Hearts (1999),Anastasia (1997)
,,,Torque (2004),,,,"Music Man, The (1962)",Headhunters (Hodejegerne) (2011),,,Breathless (À bout de souffle) (1960),Midnight Chronicles (2009),,,,,,P.S. I Love You (2007),Beyond Rangoon (1995)
,,,"Girl with the Dragon Tattoo, The (Män som hatar kvinnor) (2009)",,,,House Party (1990),Following (1998),,,Flight (2012),"Darkest Hour, The (2011)",,,,,,Persuasion (1995),"Day After Tomorrow, The (2004)"
,,,Some Like It Hot (1959),,,,Nick and Norah's Infinite Playlist (2008),Bunny Lake Is Missing (1965),,,"Single Girl, A (Fille seule, La) (1995)",Loose Cannons (1990),,,,,,Confessions of a Shopaholic (2009),Planet of the Apes (2001)
,,,Crime Busters (1977),,,,"Cuckoo, The (Kukushka) (2002)",After the Sunset (2004),,,To Sir with Love (1967),In Hell (2003),,,,,,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)","Forbidden Kingdom, The (2008)"
,,,Entrapment (1999),,,,Barbershop: The Next Cut (2016),"Ear, The (Ucho) (1970)",,,Woman in the Dunes (Suna no onna) (1964),Iron Eagle (1986),,,,,,Lara Croft Tomb Raider: The Cradle of Life (2003),Scooby-Doo! Curse of the Lake Monster (2010)
,,,Grindhouse (2007),,,,Dave (1993),"River Wild, The (1994)",,,"Deep End of the Ocean, The (1999)","Three Musketeers, The (2011)",,,,,,Merlin (1998),"SpongeBob SquarePants Movie, The (2004)"
,,,Irrational Man (2015),,,,Madly in Love (1981),xXx: State of the Union (2005),,,That Munchhausen (1979),Iron Eagle II (1988),,,,,,Cinderella (2015),"Darjeeling Limited, The (2007)"
,,,Kick-Ass 2 (2013),,,,Stardust (2007),Street Kings (2008),,,Apt Pupil (1998),Sherlock: The Abominable Bride (2016),,,,,,My Sassy Girl (Yeopgijeogin geunyeo) (2001),Bridge to Terabithia (2007)
,,,"2 Fast 2 Furious (Fast and the Furious 2, The) (2003)",,,,Barbershop (2002),Formula 51 (2001),,,Wonder Wheel (2017),"Next Karate Kid, The (1994)",,,,,,Indiscreet (1958),"Thief of Bagdad, The (1940)"
,,,Psycho (1960),,,,Auntie Mame (1958),The Devil's Advocate (1997),,,Factory Girl (2006),Survivor (2015),,,,,,She's All That (1999),Far and Away (1992)
,,,Enter the Dragon (1973),,,,Smokey and the Bandit (1977),Ocean's Eleven (2001),,,"Company, The (2003)",Dragon Ball Z the Movie: The Tree of Might (Doragon bôru Z 3: Chikyû marugoto chô kessen) (1990),,,,,,Alice Doesn't Live Here Anymore (1974),Generation X (1996)
,,,Inception (2010),,,,Why Stop Now (2012),Goodbye Lover (1999),,,Road House (1989),Safe House (2012),,,,,,Pat and Mike (1952),Outlander (2008)
,,,Hard Target (1993),,,,Zero Effect (1998),The Cloverfield Paradox (2018),,,Goodnight Mommy (Ich seh ich seh) (2014),"Pacifier, The (2005)",,,,,,Step Up 2 the Streets (2008),"Man in the Iron Mask, The (1998)"
,,,"Italian Job, The (2003)",,,,Moonstruck (1987),Eye in the Sky (2016),,,Focus (2015),Get Carter (1971),,,,,,Walk the Line (2005),Erik the Viking (1989)
,,,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),,,,Phir Hera Pheri (2006),Saw V (2008),,,Mystic Pizza (1988),"Crow, The (1994)",,,,,,Mr. Right (2016),Fled (1996)
,,,No Man's Land (1987),,,,Love & Human Remains (1993),xXx (2002),,,Instinct (1999),"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",,,,,,"Misérables, Les (2000)",Father Goose (1964)
,,,Killing Zoe (1994),,,,Ocean's Twelve (2004),Eyes Wide Shut (1999),,,Room at the Top (1959),Once Upon a Time in the West (C'era una volta il West) (1968),,,,,,"Definitely, Maybe (2008)",Agora (2009)
,,,Point Break (1991),,,,Jay and Silent Bob Strike Back (2001),Topaz (1969),,,Shampoo (1975),Aliens (1986),,,,,,Anything Else (2003),"Three Musketeers, The (1993)"
,,,"Hangover, The (2009)",,,,From Dusk Till Dawn 2: Texas Blood Money (1999) ,Kindergarten Cop (1990),,,Shooter (2007),Die Hard (1988),,,,,,Boy Meets Girl (2015),Transformers: Age of Extinction (2014)
,,,U Turn (1997),,,,Hero (1992),Manhunter (1986),,,Limelight (1952),Blood: The Last Vampire (2009),,,,,,"Bodyguard, The (1992)",Doctor Who: The Waters of Mars (2009)
,,,"Italian Job, The (1969)",,,,Secretary (2002),"Femme Nikita, La (Nikita) (1990)",,,Indian Summer (1993),Bullitt (1968),,,,,,"Road Home, The (Wo de fu qin mu qin) (1999)",Navy Seals (1990)
,,,"Way of the Gun, The (2000)",,,,Mannequin 2: On the Move (1991),"Conjuring, The (2013)",,,The Longest Ride (2015),Friday Night Lights (2004),,,,,,Rumor Has It... (2005),"Gold Rush, The (1925)"
,,,Pulp Fiction (1994),,,,Her Alibi (1989),"Eyewitness (Janitor, The) (1981)",,,Magic in the Moonlight (2014),Kung Fu Panda 2 (2011),,,,,,My Girl 2 (1994),Excess Baggage (1997)
,,,Bright (2017),,,,Gen-X Cops (1999),Citizen X (1995),,,Zack and Miri Make a Porno (2008),Rambo (Rambo 4) (2008),,,,,,House of Flying Daggers (Shi mian mai fu) (2004),Operation Dumbo Drop (1995)
,,,"Lookout, The (2007)",,,,"Boss of It All, The (Direktøren for det hele) (2006)","Haunting, The (1963)",,,Paper Moon (1973),Conan the Destroyer (1984),,,,,,Cashback (2006),African Cats (2011)
,,,Carpool (1996),,,,Jack (1996),"Night of the Iguana, The (1964)",,,Being Julia (2004),Planet of the Apes (1968),,,,,,Shopgirl (2005),Dark City (1998)
,,,Brigham City (2001),,,,My Wife is an Actress (Ma Femme est une Actrice) (2001),"Perfect Storm, The (2000)",,,Presumed Innocent (1990),"Patriot, The (2000)",,,,,,Lolita (1962),Sapphire Blue (2014)
,,,Grand Canyon (1991),,,,"Curse of the Jade Scorpion, The (2001)","Mighty Heart, A (2007)",,,"Short Film About Love, A (Krótki film o milosci) (1988)",Dragon Ball Z: Dead Zone (Doragon bôru Z 1: Ora no Gohan wo kaese) (1989),,,,,,"Saint, The (1997)","White Sun of the Desert, The (Beloe solntse pustyni) (1970)"
,,,Bring Me the Head of Alfredo Garcia (1974),,,,Paper Birds (Pájaros de papel) (2010),"Devil's Backbone, The (Espinazo del diablo, El) (2001)",,,"Short Film About Killing, A (Krótki film o zabijaniu) (1988)",Neon Genesis Evangelion: Death & Rebirth (Shin seiki Evangelion Gekijô-ban: Shito shinsei) (1997),,,,,,"Love Letter, The (1999)","Crocodile Hunter: Collision Course, The (2002)"
,,,Charlie's Angels: Full Throttle (2003),,,,The Dressmaker (2015),"Glimmer Man, The (1996)",,,Orchestra Rehearsal (Prova d'orchestra) (1978),Taxi (2004),,,,,,Double Trouble (1992),Thunderball (1965)
,,,Training Day (2001),,,,The Wedding Ringer (2015),Poison Ivy (1992),,,"Specialist, The (1994)",Unforgiven (2013),,,,,,"Apartment, The (1960)","History of Future Folk, The (2012)"
,,,Kill Bill: Vol. 1 (2003),,,,Dr. Goldfoot and the Bikini Machine (1965),Jonah Hex (2010),,,Branded to Kill (Koroshi no rakuin) (1967),"Rookie, The (1990)",,,,,,"Faraway, So Close (In weiter Ferne, so nah!) (1993)",Incident at Loch Ness (2004)
,,,Before the Devil Knows You're Dead (2007),,,,Uncle Buck (1989),Dirty Harry (1971),,,Moonlight,All Is Lost (2013),,,,,,Dragonfly (2002),Mad Max Beyond Thunderdome (1985)
,,,Wolf Creek (2005),,,,"Pirate Movie, The (1982)",Mission: Impossible (1996),,,"Bamba, La (1987)",New Rose Hotel (1998),,,,,,Beautiful Thing (1996),Unbelievable Adventures of Italians in Russia (1974)
,,,Kiss of Death (1995),,,,Igor (2008),Cursed (2005),,,Lucky You (2007),"Great Mouse Detective, The (1986)",,,,,,"Black Cat, White Cat (Crna macka, beli macor) (1998)",City of Ember (2008)
,,,"Limits of Control, The (2009)",,,,Fright Night (2011),Darkman (1990),,,Ex Machina (2015),Captain Blood (1935),,,,,,"Adjustment Bureau, The (2011)",Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001)
,,,"Salton Sea, The (2002)",,,,Undercover Brother (2002),Feast (2005),,,Shadow Dancer (2012),War of the Worlds (2005),,,,,,Under the Tuscan Sun (2003),Who Framed Roger Rabbit? (1988)
,,,Billy Bathgate (1991),,,,"Cinderella Story, A (2004)","Innkeepers, The (2011)",,,Dinner Rush (2000),Runaway Train (1985),,,,,,Passengers (2016),Alexander (2004)
,,,"Lock, Stock & Two Smoking Barrels (1998)",,,,"Perfect Plan, A (Plan parfait, Un) (2012)",Raising Cain (1992),,,Serpico (1973),Death Wish (2018),,,,,,"Perez Family, The (1995)",Captain Horatio Hornblower R.N. (1951)
,,,Furious 7 (2015),,,,"Evening with Kevin Smith 2: Evening Harder, An (2006)",North by Northwest (1959),,,Titanic (1953),Crows Zero (Kurôzu zero) (2007),,,,,,"Misérables, Les (1998)",Rogue (2007)
,,,Mindhunters (2004),,,,"Palm Beach Story, The (1942)",The Count of Monte Cristo (2002),,,Tuck Everlasting (2002),Mayhem (2017),,,,,,Inherent Vice (2014),Bottle Rocket (1996)
,,,Sherlock Holmes: A Game of Shadows (2011),,,,Ferngully: The Last Rainforest (1992),"Bank Job, The (2008)",,,Beautiful Creatures (2000),"Animatrix, The (2003)",,,,,,"Ideal Husband, An (1999)",Babylon 5: In the Beginning (1998)
,,,Deceiver (1997),,,,Hollywood Shuffle (1987),Tormented (1960),,,Tokyo Story (Tôkyô monogatari) (1953),Mad Max: Fury Road (2015),,,,,,Someone Like You (2001),King Solomon's Mines (1985)
,,,Shaft (2000),,,,Ichi the Killer (Koroshiya 1) (2001),Extremities (1986),,,Cat Soup (Nekojiru-so) (2001),Wild Card (2015),,,,,,"Visitor, The (2007)","Quest, The (1996)"
,,,Killer's Kiss (1955),,,,Wrong (2012),Identity (2003),,,"Misérables, Les (1995)","Hard Way, The (1991)",,,,,,Fever Pitch (2005),"Mummy, The (1999)"
,,,Death Wish (1974),,,,European Vacation (aka National Lampoon's European Vacation) (1985),Bad Day at Black Rock (1955),,,"English Teacher, The (2013)",Double Jeopardy (1999),,,,,,"Horse Whisperer, The (1998)",Royal Flash (1975)
,,,"Manchurian Candidate, The (1962)",,,,Dudley Do-Right (1999),12 Rounds (2009),,,Runner Runner (2013),Gone in 60 Seconds (1974),,,,,,"Truth About Cats & Dogs, The (1996)",Sky Captain and the World of Tomorrow (2004)
,,,Badlands (1973),,,,Dad's Army (2016),Wanted (2008),,,Dorian Gray (2009),Teenage Mutant Ninja Turtles III (1993),,,,,,Threesome (1994),"Shaggy Dog, The (2006)"
